trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
264,False,"{'a': 0.5, 'e': 0.26625226860418816}",20,0,-13.729600049244956,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
265,False,"{'a': 0.5, 'e': 0.26492100726116724}",25,0,-90.94876666496253,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
266,False,"{'a': 0.5, 'e': 0.26359640222486136}",25,7,23.40069229598238,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.2622784202137371}",25,14,-43.201055406028445,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
268,False,"{'a': 0.5, 'e': 0.26096702811266836}",30,16,0.438956118387102,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.259662192972105}",25,4,-18.367126930896283,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
270,False,"{'a': 0.5, 'e': 0.2583638820072445}",30,8,35.90725634489389,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.2570720625972083}",25,2,1.888530913713201,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.25578670228422223}",30,16,24.50199317315685,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.2545077687728011}",30,15,-7.938226848766892,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.25323522992893716}",20,0,-42.39539958802594,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
275,False,"{'a': 0.5, 'e': 0.25196905377929246}",25,16,17.824116155915302,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.25070920851039596}",25,13,-1.6027369891624161,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.249455662467844}",25,0,25.615539257236197,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
278,False,"{'a': 0.5, 'e': 0.24820838415550478}",20,0,18.722827876702947,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.24696734223472724}",30,12,30.430150831452632,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.2457325055235536}",20,15,7.491205606228311,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.24450384299593586}",20,10,17.301013926926302,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.24328132378095618}",25,3,-1.8469034747022857,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.2420649171620514}",20,15,10.556698151826172,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.24085459257624114}",30,21,-28.567155280822284,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
285,False,"{'a': 0.5, 'e': 0.23965031961335992}",20,0,-37.52614605820709,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
286,False,"{'a': 0.5, 'e': 0.23845206801529312}",20,0,25.333350869613405,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
287,False,"{'a': 0.5, 'e': 0.23725980767521665}",25,2,-12.455192036082385,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
288,False,"{'a': 0.5, 'e': 0.23607350863684057}",25,12,-27.52357912362399,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
289,False,"{'a': 0.5, 'e': 0.23489314109365636}",25,12,-0.07992111518136658,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.23371867538818808}",20,13,7.644133523613624,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.23255008201124713}",20,0,-13.7611053250235,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
292,False,"{'a': 0.5, 'e': 0.2313873316011909}",25,0,-18.85817602226286,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
293,False,"{'a': 0.5, 'e': 0.23023039494318495}",25,10,-25.80589852282985,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
294,False,"{'a': 0.5, 'e': 0.22907924296846902}",25,3,30.620867997882215,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.22793384675362668}",20,0,-14.636488457515934,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
296,False,"{'a': 0.5, 'e': 0.22679417751985856}",30,16,20.708957938921337,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.22566020663225925}",20,11,6.840983652728591,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.22453190559909794}",20,15,8.198780147402157,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.22340924607110246}",25,0,-44.931813492495195,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
300,False,"{'a': 0.5, 'e': 0.22229219984074694}",25,15,-7.499693830612652,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.2211807388415432}",25,1,5.367903558204459,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.2200748351473355}",30,14,15.838338696165943,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.2189744609715988}",25,14,22.274143754947193,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.21787958866674081}",20,0,-34.19765339127874,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
305,False,"{'a': 0.5, 'e': 0.2167901907234071}",25,14,6.663466193885932,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.2157062397697901}",25,5,26.51720319548732,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.21462770857094113}",25,0,-55.412178774572794,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",1
308,False,"{'a': 0.5, 'e': 0.21355457002808642}",20,0,32.126614259150216,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
309,False,"{'a': 0.5, 'e': 0.212486797177946}",35,13,38.08162330683796,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.21142436319205626}",20,12,7.475836265975037,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.5, 'e': 0.21036724137609597}",20,6,24.679410035344702,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.20931540516921548}",35,8,30.903378981629736,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.5, 'e': 0.20826882814336942}",20,15,9.04970470332953,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.5, 'e': 0.20722748400265256}",25,13,9.425536673120737,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.2061913465826393}",25,9,-15.083760694227568,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
316,False,"{'a': 0.5, 'e': 0.20516038984972612}",20,6,24.761881479766615,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.20413458790047748}",25,5,20.075627014779666,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
318,False,"{'a': 0.5, 'e': 0.20311391496097508}",20,7,20.64207715837164,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.20209834538617022}",25,0,21.630053137471545,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
320,False,"{'a': 0.5, 'e': 0.20108785365923937}",20,13,13.835479465604056,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.20008241439094315}",25,0,-12.69184260869131,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
322,False,"{'a': 0.5, 'e': 0.19908200231898845}",25,18,-38.93183637871863,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
323,False,"{'a': 0.5, 'e': 0.1980865923073935}",20,0,-13.069173595654155,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
324,False,"{'a': 0.5, 'e': 0.19709615934585653}",25,13,18.361379945549174,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.19611067854912725}",30,0,9.291868040047145,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.19513012515638162}",30,19,-4.6196866279486795,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.1941544745305997}",20,13,11.665001345136885,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.1931837021579467}",20,16,6.49549674750891,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.19221778364715697}",20,10,6.672346839764662,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.19125669472892118}",25,5,-131.0291023966082,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",1
331,False,"{'a': 0.5, 'e': 0.19030041125527658}",25,5,-36.522722267607506,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
332,False,"{'a': 0.5, 'e': 0.1893489091990002}",20,12,1.5380358094003466,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.1884021646530052}",35,23,20.31171532368676,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.18746015382974016}",20,5,-24.24810983182278,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
335,False,"{'a': 0.5, 'e': 0.18652285306059146}",20,0,-69.19719878359614,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
336,False,"{'a': 0.5, 'e': 0.1855902387952885}",20,12,1.8918496050469995,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.18466228760131206}",20,3,-25.569341018050235,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
